condition,count,nc_count
9m_AD_R1,2312.0,44.0
9m_AD_R1,3790.0,115.0
9m_AD_R1,4048.0,87.0
9m_AD_R1,5569.0,133.0
9m_AD_R1,6034.0,151.0
9m_AD_R1,7899.0,276.0
9m_AD_R1,7617.0,223.0
9m_AD_R1,9127.0,253.0
9m_AD_R1,10980.0,364.0
9m_AD_R1,8802.0,243.0
9m_AD_R1,7811.0,207.0
9m_AD_R1,7860.0,164.0
9m_AD_R1,5676.0,146.0
9m_AD_R1,9642.0,316.0
9m_AD_R1,8551.0,249.0
9m_AD_R1,7195.0,179.0
9m_AD_R1,9132.0,225.0
9m_AD_R1,11297.0,350.0
9m_AD_R1,7057.0,154.0
9m_AD_R1,7999.0,239.0
9m_AD_R1,6838.0,125.0
9m_AD_R1,11434.0,353.0
9m_AD_R1,9248.0,283.0
9m_AD_R1,8863.0,274.0
9m_AD_R1,9988.0,300.0
9m_AD_R1,10247.0,312.0
9m_AD_R1,6329.0,169.0
9m_AD_R1,5867.0,120.0
9m_AD_R1,12663.0,452.0
9m_AD_R1,8525.0,316.0
9m_AD_R1,9882.0,330.0
9m_AD_R1,6804.0,183.0
9m_AD_R1,6270.0,133.0
9m_AD_R1,7770.0,159.0
9m_AD_R1,2383.0,49.0
9m_AD_R1,64.0,2.0
9m_AD_R1,889.0,13.0
9m_AD_R1,2253.0,43.0
9m_AD_R1,2098.0,45.0
9m_AD_R1,2382.0,35.0
9m_AD_R1,2936.0,54.0
9m_AD_R1,2912.0,45.0
9m_AD_R1,3210.0,52.0
9m_AD_R1,4118.0,91.0
9m_AD_R1,7144.0,190.0
9m_AD_R1,5493.0,139.0
9m_AD_R1,5670.0,188.0
9m_AD_R1,4018.0,104.0
9m_AD_R1,7612.0,220.0
9m_AD_R1,7894.0,194.0
9m_AD_R1,10211.0,349.0
9m_AD_R1,11960.0,409.0
9m_AD_R1,8815.0,241.0
9m_AD_R1,6876.0,163.0
9m_AD_R1,9722.0,286.0
9m_AD_R1,12708.0,386.0
9m_AD_R1,9246.0,258.0
9m_AD_R1,11626.0,422.0
9m_AD_R1,9722.0,301.0
9m_AD_R1,7120.0,188.0
9m_AD_R1,7698.0,210.0
9m_AD_R1,9210.0,282.0
9m_AD_R1,11705.0,323.0
9m_AD_R1,7892.0,212.0
9m_AD_R1,10592.0,280.0
9m_AD_R1,11307.0,307.0
9m_AD_R1,11056.0,305.0
9m_AD_R1,7744.0,196.0
9m_AD_R1,9518.0,273.0
9m_AD_R1,11135.0,276.0
9m_AD_R1,9524.0,282.0
9m_AD_R1,6705.0,211.0
9m_AD_R1,7727.0,188.0
9m_AD_R1,11024.0,366.0
9m_AD_R1,7279.0,202.0
9m_AD_R1,8750.0,275.0
9m_AD_R1,10301.0,277.0
9m_AD_R1,11684.0,388.0
9m_AD_R1,9671.0,340.0
9m_AD_R1,3144.0,87.0
9m_AD_R1,715.0,25.0
9m_AD_R1,1810.0,47.0
9m_AD_R1,2333.0,51.0
9m_AD_R1,2952.0,56.0
9m_AD_R1,3072.0,63.0
9m_AD_R1,2713.0,51.0
9m_AD_R1,2189.0,39.0
9m_AD_R1,4193.0,114.0
9m_AD_R1,2828.0,50.0
9m_AD_R1,5359.0,122.0
9m_AD_R1,5480.0,141.0
9m_AD_R1,8556.0,224.0
9m_AD_R1,5825.0,114.0
9m_AD_R1,10116.0,260.0
9m_AD_R1,12794.0,432.0
9m_AD_R1,9423.0,257.0
9m_AD_R1,11144.0,328.0
9m_AD_R1,9099.0,225.0
9m_AD_R1,9976.0,287.0
9m_AD_R1,11808.0,363.0
9m_AD_R1,14046.0,389.0
9m_AD_R1,12315.0,319.0
9m_AD_R1,10422.0,248.0
9m_AD_R1,11692.0,321.0
9m_AD_R1,10666.0,315.0
9m_AD_R1,11008.0,371.0
9m_AD_R1,8204.0,250.0
9m_AD_R1,9027.0,267.0
9m_AD_R1,7820.0,194.0
9m_AD_R1,9139.0,267.0
9m_AD_R1,8625.0,262.0
9m_AD_R1,10418.0,256.0
9m_AD_R1,10421.0,246.0
9m_AD_R1,10165.0,291.0
9m_AD_R1,7134.0,169.0
9m_AD_R1,8502.0,228.0
9m_AD_R1,7887.0,252.0
9m_AD_R1,10011.0,294.0
9m_AD_R1,6771.0,129.0
9m_AD_R1,5672.0,91.0
9m_AD_R1,9016.0,285.0
9m_AD_R1,7649.0,209.0
9m_AD_R1,8653.0,236.0
9m_AD_R1,11282.0,362.0
9m_AD_R1,9894.0,309.0
9m_AD_R1,9412.0,316.0
9m_AD_R1,5336.0,166.0
9m_AD_R1,365.0,13.0
9m_AD_R1,1249.0,31.0
9m_AD_R1,2343.0,27.0
9m_AD_R1,2962.0,61.0
9m_AD_R1,3403.0,71.0
9m_AD_R1,2687.0,52.0
9m_AD_R1,3008.0,52.0
9m_AD_R1,3208.0,57.0
9m_AD_R1,3487.0,76.0
9m_AD_R1,3541.0,103.0
